vidId,frameNum,timestamp,detectedObjId,label,score,bbox
vid1,10,0.4170833333333333,0,couch,0.1774979829788208,"[0.0, 0.0, 224.0, 132.36651611328125]"
vid1,10,0.4170833333333333,1,bowl,0.15217095613479614,"[1.1878466606140137, 3.9358465671539307, 221.76673889160156, 113.63551330566406]"
vid1,10,0.4170833333333333,2,sink,0.11988331377506256,"[0.0, 8.474507331848145, 224.0, 131.56007385253906]"
vid1,10,0.4170833333333333,3,dining table,0.11479919403791428,"[1.8352526426315308, 7.7939982414245605, 224.0, 130.73204040527344]"
vid1,10,0.4170833333333333,4,car,0.11041466891765594,"[0.0, 0.0, 224.0, 123.91958618164062]"
vid1,10,0.4170833333333333,5,cat,0.06982840597629547,"[53.328182220458984, 0.0, 221.24302673339844, 126.53080749511719]"
vid1,10,0.4170833333333333,6,cat,0.06628811359405518,"[2.4989452362060547, 0.0, 161.95635986328125, 117.0570297241211]"
vid1,10,0.4170833333333333,7,couch,0.05379525199532509,"[0.0, 85.49398040771484, 224.0, 217.09999084472656]"
vid1,20,0.8341666666666666,0,couch,0.18099293112754822,"[0.0, 0.0, 224.0, 147.40562438964844]"
vid1,20,0.8341666666666666,1,car,0.13156476616859436,"[0.0, 0.0, 224.0, 143.93338012695312]"
vid1,20,0.8341666666666666,2,sink,0.12025626003742218,"[0.0, 8.598143577575684, 224.0, 131.7391815185547]"
vid1,20,0.8341666666666666,3,dining table,0.11329825967550278,"[1.621433138847351, 7.864169120788574, 224.0, 130.76255798339844]"
vid1,20,0.8341666666666666,4,bowl,0.09940724074840546,"[2.835136651992798, 4.526834964752197, 224.0, 126.17825317382812]"
vid1,20,0.8341666666666666,5,cat,0.0697583556175232,"[52.993324279785156, 0.0, 221.2381134033203, 127.04714965820312]"
vid1,20,0.8341666666666666,6,cat,0.06805785745382309,"[2.392911434173584, 0.0, 162.00234985351562, 116.9565658569336]"
vid1,30,1.25125,0,couch,0.18121029436588287,"[0.0, 0.0, 224.0, 132.6575469970703]"
vid1,30,1.25125,1,bowl,0.12528863549232483,"[1.7481200695037842, 3.126851797103882, 224.0, 111.47435760498047]"
vid1,30,1.25125,2,sink,0.11713502556085587,"[0.0, 8.298323631286621, 224.0, 131.93235778808594]"
vid1,30,1.25125,3,car,0.11308569461107254,"[0.0, 0.0, 224.0, 145.02574157714844]"
vid1,30,1.25125,4,dining table,0.1118062436580658,"[1.5573546886444092, 7.716085910797119, 224.0, 130.7576141357422]"
vid1,30,1.25125,5,cat,0.06888168305158615,"[52.87078857421875, 0.0, 221.20352172851562, 126.99232482910156]"
vid1,40,1.6683333333333332,0,couch,0.17899249494075775,"[0.0, 0.0, 224.0, 132.69583129882812]"
vid1,40,1.6683333333333332,1,bowl,0.15139801800251007,"[1.062048316001892, 3.885324716567993, 222.30799865722656, 113.86983489990234]"
vid1,40,1.6683333333333332,2,dining table,0.12922853231430054,"[1.3396215438842773, 6.696527004241943, 224.0, 129.6776123046875]"
vid1,40,1.6683333333333332,3,sink,0.11937443166971207,"[0.0, 8.276363372802734, 224.0, 131.93756103515625]"
vid1,40,1.6683333333333332,4,car,0.11462020128965378,"[0.0, 0.0, 224.0, 145.70765686035156]"
vid1,40,1.6683333333333332,5,cat,0.07014277577400208,"[52.76860809326172, 0.0, 221.28453063964844, 126.91290283203125]"
vid1,50,2.0854166666666667,0,couch,0.17884831130504608,"[0.0, 0.0, 224.0, 132.89019775390625]"
vid1,50,2.0854166666666667,1,bowl,0.13055992126464844,"[1.5771703720092773, 3.702510356903076, 219.7091522216797, 125.68987274169922]"
vid1,50,2.0854166666666667,2,dining table,0.1296142190694809,"[1.666379451751709, 6.829387664794922, 224.0, 129.9857177734375]"
vid1,50,2.0854166666666667,3,sink,0.12197976559400558,"[0.0, 8.35114860534668, 224.0, 132.1221923828125]"
vid1,50,2.0854166666666667,4,car,0.10696981847286224,"[0.0, 0.0, 224.0, 143.11257934570312]"
vid1,50,2.0854166666666667,5,cat,0.07103563845157623,"[2.243511915206909, 0.0, 185.12355041503906, 124.46768951416016]"
vid1,60,2.5025,0,couch,0.18480214476585388,"[0.0, 0.0, 224.0, 148.22024536132812]"
vid1,60,2.5025,1,dining table,0.13341380655765533,"[1.7594678401947021, 6.792469501495361, 224.0, 130.49087524414062]"
vid1,60,2.5025,2,bowl,0.13063043355941772,"[1.7080700397491455, 3.736480712890625, 219.4652862548828, 125.97730255126953]"
vid1,60,2.5025,3,car,0.13055375218391418,"[0.0, 0.0, 224.0, 144.9457550048828]"
vid1,60,2.5025,4,sink,0.11782125383615494,"[0.0, 8.064227104187012, 224.0, 132.4888916015625]"
vid1,60,2.5025,5,cat,0.0723676010966301,"[51.294002532958984, 0.0, 221.1077880859375, 127.41543579101562]"
vid1,70,2.919583333333333,0,couch,0.18191862106323242,"[0.0, 0.0, 224.0, 148.3914337158203]"
vid1,70,2.919583333333333,1,dining table,0.1340203732252121,"[1.6946630477905273, 6.8265767097473145, 224.0, 130.6460723876953]"
vid1,70,2.919583333333333,2,bowl,0.12905271351337433,"[1.6769665479660034, 3.7461066246032715, 219.88510131835938, 126.04995727539062]"
vid1,70,2.919583333333333,3,car,0.12876681983470917,"[0.0, 0.0, 224.0, 145.0186309814453]"
vid1,70,2.919583333333333,4,sink,0.11736521124839783,"[0.0, 7.939291954040527, 224.0, 132.60824584960938]"
vid1,70,2.919583333333333,5,cat,0.0720946416258812,"[50.28255844116211, 0.0, 221.21749877929688, 127.69723510742188]"
vid1,70,2.919583333333333,6,traffic light,0.05446159839630127,"[10.559895515441895, 98.32062530517578, 23.487415313720703, 121.1830062866211]"
vid1,80,3.3366666666666664,0,couch,0.18512330949306488,"[0.0, 0.0, 224.0, 133.09414672851562]"
vid1,80,3.3366666666666664,1,car,0.13135340809822083,"[0.0, 0.0, 224.0, 144.43026733398438]"
